92 <- #Model:106, #Native structure:93
1/92: T1024-D1
T1100-D2 gdt=0.182
91/92: T1101-D1
T1101-D1 tmscore=0.85
T1101-D1 length=83
T1101-D1 gdt=0.861
92/92: T1101-D2
T1101-D2 tmscore=0.789
T1101-D2 length=224
T1101-D2 gdt=0.639
        TM-score  Length     GDT-TS
count  92.000000     0.0  92.000000
mean    0.597348     NaN   0.543130
std     0.270581     NaN   0.294909
min     0.141000     NaN   0.024000
25%     0.351750     NaN   0.271750
50%     0.625000     NaN   0.539000
75%     0.851000     NaN   0.844750
max     0.992000     NaN   0.994000
