92 <- #Model:106, #Native structure:93
1/92: T1024-D1
T1046s1-D1 tmscore=0.498
T1046s1-D1 length=72
T1046s1-D1 gdt=0.514
27/92: T1046s2-D1
T1046s2-D1 tmscore=0.962
T1046s2-D1 length=140
T1046s2-D1 gdt=0.961
28/92: T1047s1-D1
T1047s1-D1 tmscore=0.265
T1047s1-D1 length=211
T1047s1-D1 gdt=0.186
29/92: T1047s2-D1
T1047s2-D1 tmscore=0.175
T1047s2-D1 length=147
T1047s2-D1 gdt=0.139
30/92: T1047s2-D2
T1047s2-D2 tmscore=0.552
T1047s2-D2 length=83
T1047s2-D2 gdt=0.593
31/92: T1047s2-D3
T1047s2-D3 tmscore=0.179
T1047s2-D3 length=116
T1047s2-D3 gdt=0.19
32/92: T1049-D1
T1049-D1 tmscore=0.918
T1049-D1 length=134
T1049-D1 gdt=0.884
33/92: T1050-D1
T1050-D1 tmscore=0.644
T1050-D1 length=321
T1050-D1 gdt=0.452
34/92: T1050-D2
T1050-D2 tmscore=0.732
T1050-D2 length=316
T1050-D2 gdt=0.604
35/92: T1050-D3
T1050-D3 tmscore=0.728
T1050-D3 length=128
T1050-D3 gdt=0.633
36/92: T1052-D1
T1052-D1 tmscore=0.405
T1052-D1 length=539
T1052-D1 gdt=0.252
37/92: T1052-D2
T1052-D2 tmscore=0.744
T1052-D2 length=213
T1052-D2 gdt=0.576
38/92: T1052-D3
T1052-D3 tmscore=0.568
T1052-D3 length=80
T1052-D3 gdt=0.594
39/92: T1053-D1
T1053-D1 tmscore=0.19
T1053-D1 length=405
T1053-D1 gdt=0.061
40/92: T1053-D2
T1053-D2 tmscore=0.459
T1053-D2 length=171
T1053-D2 gdt=0.376
41/92: T1054-D1
T1054-D1 tmscore=0.453
T1054-D1 length=143
T1054-D1 gdt=0.407
42/92: T1055-D1
T1055-D1 tmscore=0.476
T1055-D1 length=122
T1055-D1 gdt=0.395
43/92: T1056-D1
T1056-D1 tmscore=0.607
T1056-D1 length=169
T1056-D1 gdt=0.533
44/92: T1057-D1
T1057-D1 tmscore=0.841
T1057-D1 length=246
T1057-D1 gdt=0.701
45/92: T1058-D1
T1058-D1 tmscore=0.298
T1058-D1 length=221
T1058-D1 gdt=0.214
46/92: T1058-D2
T1058-D2 tmscore=0.392
T1058-D2 length=161
T1058-D2 gdt=0.349
47/92: T1060s2-D1
T1060s2-D1 tmscore=0.376
T1060s2-D1 length=297
T1060s2-D1 gdt=0.247
48/92: T1060s3-D1
T1060s3-D1 tmscore=0.189
T1060s3-D1 length=137
T1060s3-D1 gdt=0.134
49/92: T1061-D0
T1061-D0 tmscore=0.157
T1061-D0 length=838
T1061-D0 gdt=0.021
50/92: T1061-D1
T1061-D1 tmscore=0.306
T1061-D1 length=464
T1061-D1 gdt=0.135
51/92: T1061-D2
T1061-D2 tmscore=0.296
T1061-D2 length=271
T1061-D2 gdt=0.163
52/92: T1061-D3
T1061-D3 tmscore=0.656
T1061-D3 length=103
T1061-D3 gdt=0.646
53/92: T1064-D1
T1064-D1 tmscore=0.26
T1064-D1 length=92
T1064-D1 gdt=0.253
54/92: T1065s1-D1
T1065s1-D1 tmscore=0.573
T1065s1-D1 length=119
T1065s1-D1 gdt=0.515
55/92: T1065s2-D1
T1065s2-D1 tmscore=0.788
T1065s2-D1 length=98
T1065s2-D1 gdt=0.75
56/92: T1067-D1
T1067-D1 tmscore=0.57
T1067-D1 length=221
T1067-D1 gdt=0.448
57/92: T1068-D1
T1068-D1 tmscore=0.333
T1068-D1 length=191
T1068-D1 gdt=0.251
58/92: T1070-D1
T1070-D1 tmscore=0.33
T1070-D1 length=76
T1070-D1 gdt=0.349
59/92: T1070-D2
T1070-D2 tmscore=0.579
T1070-D2 length=101
T1070-D2 gdt=0.537
60/92: T1070-D3
T1070-D3 tmscore=0.565
T1070-D3 length=76
T1070-D3 gdt=0.569
61/92: T1070-D4
T1070-D4 tmscore=0.698
T1070-D4 length=68
T1070-D4 gdt=0.724
62/92: T1073-D1
T1073-D1 tmscore=0.693
T1073-D1 length=59
T1073-D1 gdt=0.771
63/92: T1074-D1
T1074-D1 tmscore=0.351
T1074-D1 length=132
T1074-D1 gdt=0.271
64/92: T1076-D1
T1076-D1 tmscore=0.422
T1076-D1 length=540
T1076-D1 gdt=0.279
65/92: T1078-D1
T1078-D1 tmscore=0.447
T1078-D1 length=129
T1078-D1 gdt=0.376
66/92: T1079-D1
T1079-D1 tmscore=0.211
T1079-D1 length=451
T1079-D1 gdt=0.103
67/92: T1080-D1
T1080-D1 tmscore=0.257
T1080-D1 length=133
T1080-D1 gdt=0.179
68/92: T1082-D1
T1082-D1 tmscore=0.414
T1082-D1 length=75
T1082-D1 gdt=0.467
69/92: T1083-D1
T1083-D1 tmscore=0.739
T1083-D1 length=92
T1083-D1 gdt=0.736
70/92: T1084-D1
T1084-D1 tmscore=0.814
T1084-D1 length=71
T1084-D1 gdt=0.842
71/92: T1087-D1
T1087-D1 tmscore=0.762
T1087-D1 length=93
T1087-D1 gdt=0.777
72/92: T1089-D1
T1089-D1 tmscore=0.583
T1089-D1 length=377
T1089-D1 gdt=0.421
73/92: T1090-D1
T1090-D1 tmscore=0.227
T1090-D1 length=191
T1090-D1 gdt=0.127
74/92: T1091-D1
T1091-D1 tmscore=0.67
T1091-D1 length=139
T1091-D1 gdt=0.583
75/92: T1091-D2
T1091-D2 tmscore=0.175
T1091-D2 length=107
T1091-D2 gdt=0.157
76/92: T1091-D3
T1091-D3 tmscore=0.773
T1091-D3 length=106
T1091-D3 gdt=0.708
77/92: T1091-D4
T1091-D4 tmscore=0.852
T1091-D4 length=112
T1091-D4 gdt=0.815
78/92: T1092-D1
T1092-D1 tmscore=0.59
T1092-D1 length=245
T1092-D1 gdt=0.4
79/92: T1092-D2
T1092-D2 tmscore=0.704
T1092-D2 length=181
T1092-D2 gdt=0.544
80/92: T1093-D1
T1093-D1 tmscore=0.28
T1093-D1 length=141
T1093-D1 gdt=0.216
81/92: T1093-D2
T1093-D2 tmscore=0.233
T1093-D2 length=382
T1093-D2 gdt=0.092
82/92: T1093-D3
T1093-D3 tmscore=0.27
T1093-D3 length=106
T1093-D3 gdt=0.229
83/92: T1094-D1
T1094-D1 tmscore=0.295
T1094-D1 length=277
T1094-D1 gdt=0.174
84/92: T1094-D2
T1094-D2 tmscore=0.253
T1094-D2 length=207
T1094-D2 gdt=0.152
85/92: T1095-D1
T1095-D1 tmscore=0.152
T1095-D1 length=649
T1095-D1 gdt=0.036
86/92: T1096-D1
T1096-D1 tmscore=0.34
T1096-D1 length=255
T1096-D1 gdt=0.196
87/92: T1096-D2
T1096-D2 tmscore=0.312
T1096-D2 length=171
T1096-D2 gdt=0.222
88/92: T1099-D1
T1099-D1 tmscore=0.874
T1099-D1 length=178
T1099-D1 gdt=0.764
89/92: T1100-D1
T1100-D1 tmscore=0.494
T1100-D1 length=171
T1100-D1 gdt=0.417
90/92: T1100-D2
T1100-D2 tmscore=0.314
T1100-D2 length=166
T1100-D2 gdt=0.256
91/92: T1101-D1
T1101-D1 tmscore=0.836
T1101-D1 length=83
T1101-D1 gdt=0.852
92/92: T1101-D2
T1101-D2 tmscore=0.684
T1101-D2 length=224
T1101-D2 gdt=0.519
